"Rank","Value","Entry Count"
"1","PSU","874"
"2","5MC","747"
"3","OMG","697"
"4","OMC","661"
"5","5MU","659"
"6","2MG","592"
"7","UR3","591"
"8","OMU","584"
"9","MA6","573"
"10","4OC","422"
"11","6MZ","422"
"12","G7M","393"
"13","2MA","375"
"14","7MG","346"
"15","H2U","337"
"16","4SU","327"
"17","1MG","290"
"18","DOC","284"
"19","5CM","257"
"20","GTP","250"
"21","8OG","246"
"22","1MA","241"
"23","3TD","239"
"24","A2M","238"
"25","M2G","231"
"26","3DR","179"
"27","MIA","167"
"28","BRU","136"
"29","4AC","101"
"30","B8N","85"
"31","DDG","77"
"32","CCC","76"
"33","T6A","70"
"34","B8T","63"
"35","2MU","60"
"36","5BU","59"
"37","LCG","58"
"38","LCC","56"
"39","CBR","54"
"40","2DA","52"
"41","3AU","52"
"42","CBV","47"
"43","A23","45"
"44","5IU","44"
"45","TTD","43"
"46","6MA","42"
"47","ORP","41"
"48","PPU","41"
"49","UY1","38"
"50","6OG","37"
"51","GDP","37"
"52","2DT","36"
"53","CM0","36"
"54","MRG","36"
"55","M7A","35"
"56","U8U","34"
"57","5HC","32"
"58","AAB","31"
"59","B8H","31"
"60","BGM","30"
"61","8AN","29"
"62","B8Q","29"
"63","0C","28"
"64","0G","28"
"65","0U","28"
"66","2YR","27"
"67","ATP","26"
"68","E7G","26"
"69","I4U","26"
"70","P7G","26"
"71","B9B","25"
"72","PED","25"
"73","UMS","25"
"74","B8K","24"
"75","B8W","24"
"76","B9H","24"
"77","BGH","24"
"78","IGU","24"
"79","P4U","24"
"80","P5P","24"
"81","AS","23"
"82","PYO","23"
"83","YG","23"
"84","YYG","22"
"85","2PR","21"
"86","31H","21"
"87","JMH","21"
"88","23G","20"
"89","E6G","19"
"90","G47","19"
"91","8NI","18"
"92","C42","18"
"93","M7G","18"
"94","MHG","18"
"95","S9L","18"
"96","1W5","17"
"97","CH","17"
"98","G2L","17"
"99","MA7","17"
"100","1WA","16"
"101","CFZ","16"
"102","F3N","16"
"103","GF2","16"
"104","TLN","16"
"105","Y5P","16"
"106","1CC","15"
"107","CAR","15"
"108","DCZ","15"
"109","PST","15"
"110","RIA","15"
"111","UFT","15"
"112","12A","14"
"113","A38","14"
"114","AF2","14"
"115","CFL","14"
"116","CPN","14"
"117","DNR","14"
"118","EDA","14"
"119","GPN","14"
"120","GS","14"
"121","THM","14"
"122","64T","13"
"123","6IA","13"
"124","70U","13"
"125","C4J","13"
"126","C7R","13"
"127","TAF","13"
"128","TPN","13"
"129","5FC","12"
"130","5PY","12"
"131","8AZ","12"
"132","APN","12"
"133","C49","12"
"134","CTG","12"
"135","GFL","12"
"136","P","12"
"137","QUO","12"
"138","RSP","12"
"139","0DC","11"
"140","0DG","11"
"141","DFT","11"
"142","DZM","11"
"143","FMG","11"
"144","G46","11"
"145","ME6","11"
"146","RSQ","11"
"147","1AP","10"
"148","56B","10"
"149","8GM","10"
"150","C38","10"
"151","JSP","10"
"152","LKC","10"
"153","MCY","10"
"154","02I","9"
"155","85Y","9"
"156","E3C","9"
"157","FHU","9"
"158","GNE","9"
"159","IMC","9"
"160","LHH","9"
"161","SSU","9"
"162","UCL","9"
"163","0DA","8"
"164","6HC","8"
"165","7GU","8"
"166","A3P","8"
"167","ATM","8"
"168","DUZ","8"
"169","FOX","8"
"170","G35","8"
"171","GTG","8"
"172","IU","8"
"173","LCA","8"
"174","N6G","8"
"175","SUR","8"
"176","0DT","7"
"177","4DU","7"
"178","8AH","7"
"179","C6G","7"
"180","CX2","7"
"181","DN","7"
"182","EDC","7"
"183","FAG","7"
"184","G49","7"
"185","GMP","7"
"186","LHO","7"
"187","SC","7"
"188","TX2","7"
"189","UFR","7"
"190","08Q","6"
"191","5HU","6"
"192","6HA","6"
"193","6HG","6"
"194","6HT","6"
"195","7BG","6"
"196","B7C","6"
"197","BMN","6"
"198","BZG","6"
"199","CTP","6"
"200","D4B","6"
"201","DV3","6"
"202","F74","6"
"203","FME","6"
"204","GTA","6"
"205","M3X","6"
"206","M7M","6"
"207","MG1","6"
"208","PDI","6"
"209","T5S","6"
"210","T64","6"
"211","TFT","6"
"212","TT","6"
"213","UAR","6"
"214","UFP","6"
"215","UMP","6"
"216","UNK","6"
"217","US3","6"
"218","XSX","6"
"219","126","5"
"220","2LF","5"
"221","3DA","5"
"222","5AA","5"
"223","5HM","5"
"224","5OC","5"
"225","7DA","5"
"226","A1LZ3","5"
"227","A44","5"
"228","A9Z","5"
"229","ACA","5"
"230","C37","5"
"231","CSL","5"
"232","D33","5"
"233","EFG","5"
"234","EW3","5"
"235","FA2","5"
"236","G48","5"
"237","HPD","5"
"238","K1F","5"
"239","LV2","5"
"240","NH2","5"
"241","NR1","5"
"242","NRI","5"
"243","OHU","5"
"244","PHA","5"
"245","PO2","5"
"246","PRN","5"
"247","T39","5"
"248","TCY","5"
"249","TSP","5"
"250","UTP","5"
"251","WVQ","5"
"252","0A","4"
"253","1DP","4"
"254","2EG","4"
"255","2OP","4"
"256","2SG","4"
"257","2ST","4"
"258","4PC","4"
"259","5GP","4"
"260","91N","4"
"261","A3A","4"
"262","A5L","4"
"263","A5M","4"
"264","C43","4"
"265","C45","4"
"266","C5L","4"
"267","C5P","4"
"268","DG8","4"
"269","F86","4"
"270","G36","4"
"271","G5J","4"
"272","HN1","4"
"273","I2T","4"
"274","MTU","4"
"275","MUM","4"
"276","N7X","4"
"277","PDU","4"
"278","QBT","4"
"279","S6G","4"
"280","SAY","4"
"281","SRA","4"
"282","TGP","4"
"283","U36","4"
"284","U37","4"
"285","UF2","4"
"286","UPE","4"
"287","USM","4"
"288","XB9","4"
"289","XTR","4"
"290","Z","4"
"291","ZJS","4"
"292","ZTH","4"
"293","125","3"
"294","1FC","3"
"295","2AU","3"
"296","31M","3"
"297","4U3","3"
"298","5AT","3"
"299","5BT","3"
"300","5CY","3"
"301","5EJ","3"
"302","5PC","3"
"303","6FM","3"
"304","6NW","3"
"305","7S3","3"
"306","7SN","3"
"307","8FG","3"
"308","92F","3"
"309","A47","3"
"310","ACE","3"
"311","AET","3"
